title_id	name_id
tt0000929	nm0093361
tt0015414	nm0615736
tt0015724	nm0529960
tt0034841	nm0572235
tt0038086	nm0826094
tt0040844	nm0000248
tt0059325	nm0127158
tt0059900	nm0351586
tt0065188	nm0878702
tt0067460	nm0091430
tt0068494	nm0643443
tt0070501	nm0749914
tt0073481	nm0193508
tt0077432	nm0839288
tt0078006	nm0333937
tt0080039	nm0192870
tt0081008	nm0389846
tt0081145	nm0193303
tt0081436	nm0525938
tt0081721	nm0747808
tt0082473	nm0143426
tt0082891	nm0000382
tt0084015	nm0160246
tt0084015	nm0767391
tt0084447	nm0000382
tt0084551	nm0152049
tt0084638	nm0577263
tt0084870	nm0210701
tt0087306	nm0653458
tt0088267	nm0948151
tt0088283	nm0353436
tt0088656	nm0632726
tt0088656	nm0407479
tt0088657	nm0632726
tt0088657	nm0407479
tt0089043	nm0095755
tt0090000	nm1709207
tt0090144	nm0265853
tt0090665	nm0099276
tt0090780	nm0355703
tt0090780	nm0461298
tt0090780	nm5890366
tt0090785	nm0382956
tt0090869	nm0173065
tt0091490	nm0014411
tt0091899	nm0136642
tt0092024	nm0002797
tt0092507	nm0698184
tt0092589	nm0434854
tt0092926	nm0927475
tt0092984	nm0654839
tt0093061	nm0338598
tt0093081	nm0343276
tt0093099	nm0520485
tt0093210	nm0244471
tt0093211	nm0366594
tt0093309	nm0490487
tt0093508	nm0063181
tt0093572	nm0812546
tt0093646	nm0657722
tt0093989	nm0151653
tt0094004	nm0162717
tt0094376	nm0149216
tt0094390	nm0803393
tt0094609	nm0894132
tt0094609	nm0834484
tt0094666	nm0165965
tt0094688	nm0453993
tt0094808	nm0034776
tt0094841	nm0274659
tt0094857	nm0436326
tt0094874	nm0161165
tt0094900	nm0505415
tt0094926	nm0868149
tt0094997	nm0002086
tt0095006	nm0560489
tt0095095	nm0580726
tt0095102	nm0461921
tt0095111	nm0246986
tt0095147	nm0751133
tt0095201	nm0479561
tt0095229	nm0414842
tt0095229	nm1589697
tt0095290	nm0523701
tt0095335	nm0266630
tt0095394	nm0482901
tt0095450	nm0948021
tt0095450	nm0007139
tt0095469	nm0525475
tt0095571	nm0340742
tt0095661	nm0266862
tt0095671	nm0840779
tt0095672	nm0305869
tt0095673	nm0379449
tt0095674	nm0002797
tt0095745	nm0035784
tt0095761	nm0675422
tt0095783	nm0064593
tt0095831	nm0803112
tt0095840	nm0709527
tt0095902	nm0514045
tt0096025	nm0225769
tt0096035	nm0093271
tt0096038	nm0655230
tt0096075	nm0227661
tt0096090	nm0525475
tt0096107	nm0001425
tt0096135	nm0322560
tt0096154	nm0002793
tt0096174	nm0470749
tt0096177	nm0132490
tt0096222	nm0160900
tt0096254	nm0851930
tt0096345	nm0766649
tt0096346	nm0936123
tt0096361	nm0386185
tt0096361	nm1684335
tt0096362	nm0386185
tt0096362	nm1011775
tt0096363	nm0386185
tt0096363	nm1011775
tt0096397	nm0509136
tt0096405	nm0452319
tt0096469	nm0157392
tt0096500	nm3134982
tt0096513	nm0150894
tt0096749	nm0648839
tt0096752	nm0335825
tt0096763	nm0068871
tt0096767	nm0568797
tt0096775	nm0122216
tt0096775	nm0122217
tt0096780	nm0257739
tt0096781	nm0452319
tt0096786	nm0676248
tt0096797	nm0266735
tt0096811	nm0874676
tt0096817	nm0074213
tt0096825	nm0001090
tt0096830	nm0844541
tt0096837	nm0381489
tt0096838	nm0473957
tt0096845	nm0653073
tt0096857	nm0335133
tt0096858	nm0876488
tt0096859	nm0148970
tt0096860	nm0163227
tt0096864	nm0923571
tt0096871	nm0730156
tt0096875	nm0000454
tt0096875	nm0000647
tt0096877	nm0001238
tt0096879	nm0048060
tt0096883	nm0079729
tt0096899	nm0191183
tt0096910	nm0421904
tt0096937	nm0631674
tt0096954	nm0589893
tt0096975	nm0296962
tt0096984	nm0451576
tt0096992	nm0644789
tt0096995	nm0020610
tt0097004	nm0031301
tt0097049	nm0301145
tt0097057	nm0848734
tt0097062	nm0813534
tt0097066	nm0416414
tt0097066	nm0678636
tt0097079	nm0338369
tt0097106	nm0006445
tt0097111	nm0142517
tt0097115	nm0500609
tt0097122	nm0783744
tt0097129	nm0004372
tt0097140	nm0833708
tt0097140	nm0401247
tt0097176	nm0089502
tt0097184	nm0699114
tt0097204	nm0178801
tt0097218	nm0578533
tt0097246	nm0414249
tt0097253	nm0532702
tt0097259	nm0817995
tt0097280	nm0246308
tt0097298	nm0666999
tt0097310	nm0648108
tt0097318	nm0572132
tt0097324	nm0823280
tt0097339	nm0694411
tt0097346	nm0767697
tt0097348	nm0939275
tt0097362	nm0406349
tt0097362	nm1847770
tt0097365	nm0418486
tt0097394	nm0155587
tt0097399	nm0495525
tt0097405	nm0282214
tt0097416	nm0788171
tt0097436	nm0468007
tt0097451	nm0666685
tt0097475	nm0958183
tt0097479	nm0477933
tt0097505	nm0001090
tt0097506	nm0251243
tt0097509	nm0048735
tt0097516	nm0055988
tt0097519	nm0009376
tt0097525	nm0118345
tt0097535	nm0910979
tt0097542	nm0327805
tt0097550	nm0132392
tt0097558	nm0326450
tt0097566	nm0776049
tt0097571	nm0552830
tt0097573	nm0557789
tt0097578	nm0799595
tt0097585	nm0379445
tt0097615	nm0861292
tt0097619	nm0864775
tt0097631	nm0755197
tt0097638	nm0170504
tt0097644	nm0266138
tt0097655	nm0121166
tt0097666	nm0255912
tt0097668	nm0240439
tt0097683	nm0053022
tt0097697	nm0844226
tt0097720	nm0570730
tt0097726	nm0072993
tt0097738	nm0119653
tt0097743	nm0033081
tt0097748	nm0291298
tt0097765	nm0304046
tt0097769	nm0923802
tt0097775	nm0007139
tt0097783	nm0569429
tt0097783	nm0801625
tt0097802	nm0010383
tt0097803	nm0405578
tt0097820	nm0332647
tt0097822	nm0737604
tt0097833	nm0686136
tt0097848	nm0659368
tt0097849	nm0452002
tt0097850	nm0410478
tt0097851	nm0329715
tt0097853	nm0302785
tt0097855	nm0833721
tt0097863	nm0400133
tt0097864	nm0504941
tt0097874	nm0247642
tt0097875	nm0598408
tt0097884	nm0001501
tt0097893	nm0159402
tt0097894	nm0712577
tt0097910	nm0000386
tt0097912	nm0670757
tt0097919	nm0387853
tt0097924	nm0874096
tt0097925	nm0554880
tt0097928	nm3164805
tt0097949	nm0462899
tt0097966	nm0701000
tt0097968	nm0464092
tt0097970	nm0595618
tt0097979	nm0217134
tt0097984	nm0151653
tt0098004	nm0541094
tt0098018	nm0910904
tt0098021	nm0602454
tt0098030	nm0648900
tt0098043	nm0163990
tt0098050	nm0140327
tt0098063	nm0000972
tt0098064	nm0654839
tt0098070	nm0813177
tt0098077	nm0306551
tt0098100	nm0160540
tt0098136	nm0646987
tt0098136	nm0801157
tt0098139	nm0691908
tt0098144	nm0336076
tt0098150	nm0876600
tt0098172	nm0819701
tt0098181	nm0902339
tt0098182	nm0198017
tt0098199	nm0839233
tt0098211	nm0360766
tt0098211	nm0541654
tt0098244	nm0921631
tt0098256	nm0554580
tt0098267	nm0118345
tt0098267	nm0373494
tt0098278	nm0900143
tt0098294	nm0524516
tt0098318	nm0626864
tt0098344	nm0453238
tt0098372	nm0172181
tt0098377	nm4979187
tt0098392	nm0349654
tt0098405	nm0157696
tt0098422	nm0139584
tt0098426	nm0379797
tt0098429	nm0654839
tt0098431	nm0619321
tt0098461	nm0802692
tt0098462	nm0222562
tt0098486	nm0125367
tt0098488	nm0037868
tt0098495	nm0125461
tt0098514	nm0147389
tt0098531	nm0652225
tt0098532	nm0442454
tt0098534	nm0886789
tt0098542	nm1014475
tt0098548	nm0412838
tt0098553	nm0373911
tt0098561	nm0894074
tt0098576	nm1011775
tt0098576	nm0386185
tt0098584	nm0230695
tt0098588	nm0246222
tt0098606	nm0000019
tt0098629	nm0542524
tt0098634	nm0393031
tt0098656	nm0535323
tt0098657	nm0778338
tt0098658	nm0903796
tt0098707	nm0151060
tt0098755	nm0953508
tt0098920	nm0536464
tt0098958	nm0613634
tt0098959	nm0666498
tt0098961	nm0003606
tt0098962	nm0372421
tt0098963	nm0573427
tt0098965	nm0022581
tt0098966	nm0001915
tt0098967	nm0001429
tt0098970	nm0133357
tt0098972	nm0411631
tt0098974	nm0902823
tt0098975	nm0315889
tt0098976	nm0092555
tt0098977	nm0712479
tt0098978	nm0521284
tt0098979	nm0541249
tt0098980	nm0514226
tt0098981	nm0618425
tt0098985	nm0516435
tt0098986	nm0039759
tt0098986	nm0093606
tt0098986	nm0233718
tt0098986	nm0399875
tt0098986	nm0534550
tt0098986	nm0685040
tt0098986	nm0730156
tt0098987	nm0001317
tt0098988	nm0793519
tt0098989	nm0902823
tt0098990	nm0097541
tt0098991	nm0903137
tt0098992	nm0065496
tt0098993	nm0297202
tt0098994	nm0001226
tt0098996	nm0364688
tt0098997	nm0468007
tt0098998	nm0544863
tt0098999	nm0002172
tt0099000	nm0492309
tt0099001	nm0864775
tt0099003	nm0416819
tt0099004	nm0096149
tt0099005	nm0006854
tt0099006	nm0136603
tt0099007	nm3985732
tt0099008	nm0556255
tt0099009	nm0423645
tt0099011	nm0198786
tt0099012	nm0000095
tt0099013	nm0928907
tt0099014	nm0430927
tt0099015	nm0750201
tt0099017	nm0271057
tt0099018	nm0180257
tt0099019	nm0608232
tt0099023	nm0006357
tt0099024	nm0298723
tt0099025	nm0474839
tt0099026	nm0169540
tt0099027	nm0765384
tt0099028	nm0465932
tt0099028	nm0135199
tt0099028	nm0359735
tt0099028	nm0798023
tt0099029	nm0879513
tt0099031	nm0511730
tt0099032	nm0397986
tt0099033	nm0670670
tt0099034	nm0268999
tt0099035	nm0511730
tt0099037	nm0718217
tt0099038	nm0864504
tt0099039	nm0440171
tt0099058	nm0511730
tt0099060	nm0232795
tt0099096	nm0233286
tt0099102	nm0632311
tt0099102	nm0170407
tt0099105	nm0451799
tt0099115	nm0474119
tt0099139	nm0703400
tt0099147	nm0775940
tt0099158	nm0123785
tt0099217	nm0035106
tt0099279	nm0792120
tt0099370	nm0002087
tt0099383	nm0164196
tt0099427	nm0226290
tt0099427	nm0955055
tt0099457	nm0092372
tt0099526	nm0339264
tt0099530	nm0144758
tt0099542	nm0578162
tt0099580	nm0410769
tt0099661	nm0000473
tt0099727	nm0115185
tt0099727	nm0000177
tt0099744	nm0369251
tt0099745	nm0767054
tt0099746	nm0837657
tt0099781	nm0085457
tt0099811	nm0463926
tt0099835	nm0267064
tt0099851	nm0487567
tt0099952	nm0694341
tt0099971	nm0492722
tt0099992	nm0080943
tt0100155	nm0934508
tt0100216	nm0222319
tt0100255	nm0817811
tt0100316	nm0561879
tt0100370	nm0076679
tt0100406	nm0165965
tt0100439	nm0426183
tt0100474	nm0092380
tt0100482	nm0196797
tt0100482	nm0253727
tt0100492	nm0389263
tt0100578	nm0427880
tt0100580	nm0204209
tt0100642	nm0926688
tt0100658	nm0426183
tt0100664	nm0659454
tt0100710	nm0955195
tt0100718	nm0002573
tt0100718	nm0918873
tt0100724	nm0810200
tt0100748	nm0089777
tt0100749	nm0250914
tt0100750	nm0832419
tt0100751	nm0317413
tt0100752	nm0432501
tt0100753	nm0771942
tt0100754	nm0473151
tt0100755	nm0034776
tt0100770	nm0006841
tt0100818	nm0934508
tt0100900	nm0385091
tt0100900	nm0180644
tt0100948	nm0769135
tt0100953	nm0401461
tt0101095	nm0000877
tt0101179	nm0211643
tt0101246	nm0006841
tt0101271	nm0287821
tt0101274	nm0001352
tt0101300	nm0950000
tt0101358	nm0452319
tt0101443	nm0406134
tt0101480	nm0685673
tt0101655	nm0949645
tt0101729	nm0002910
tt0101750	nm0856827
tt0101835	nm0144758
tt0101836	nm0144758
tt0101837	nm0144758
tt0101838	nm0144758
tt0101840	nm0144758
tt0101894	nm0234462
tt0101915	nm0373453
tt0101971	nm0115185
tt0101971	nm0301715
tt0101972	nm0533564
tt0102012	nm0002376
tt0102111	nm0642823
tt0102199	nm0277439
tt0102255	nm0076679
tt0102276	nm0324995
tt0102281	nm0323795
tt0102378	nm0330848
tt0102379	nm0684226
tt0102416	nm0358759
tt0102424	nm0375451
tt0102474	nm0331964
tt0102501	nm0369359
tt0102502	nm0258917
tt0102547	nm0349222
tt0102621	nm6524380
tt0102643	nm0375469
tt0102644	nm0883609
tt0102711	nm0923675
tt0102769	nm0349222
tt0102786	nm0326450
tt0102787	nm0326450
tt0102856	nm0389373
tt0102857	nm0583800
tt0102863	nm0086295
tt0102925	nm0154324
tt0103020	nm0416176
tt0103046	nm0317411
tt0103047	nm0461170
tt0103048	nm0444936
tt0103049	nm0389373
tt0103050	nm0633950
tt0103051	nm0633950
tt0103052	nm0738056
tt0103053	nm0389386
tt0103054	nm0389373
tt0103062	nm0531640
tt0103071	nm0297502
tt0103145	nm0247089
tt0103149	nm0530689
